Taxon,Family,SubFamily,Genus,TVK,Niche,Synanthropic,AdultSeason,MonthRange,PeakMonth,Sex,MaxBodyLength,BodyLength,MaleBodyLength,FemaleBodyLength,BodyFlattened,Saddle,SaddleShape,SaddleTruncated,SaddleMarkings,CentralStripe,GranularAppearance,OtherMarkings,DorsalTubercleRows,DorsalTubecleEndsSwollen,DorsalTubercleOther,HeadProjections,TypeOfSmallHeadTubercles,TridentOrientation,TridentMemberLength,TridentAdditionalTubercles,TridentOther,OculariumPresence,OculariumEyeRings,OculariumAspectRatio,OculariumArmatureArrangement,OculariumArmatureRowTubercle,OculariumArmatureTubercleType,OculariumArmatureType,OculariumTubercleEnd,OculariumArmatureSize,OculariumOther,PalpClaw,PalpTarsusLength,PalpTibiaApophysis,PalpPatellaApophysis,PalpFemurApophysis,PalpVentralFemurTubercles,PalpKnobbedHairs,PalpOther,CheliceraSpur,CheliceraProjections,SupraCheliceralProjections,LegsRelativeLength,LegsLength1And2,Leg2Length,LegsColour,LegsAnnulations,LegsBodyColourContrast,LegsCoxaMarkings,LegsTrochanterMarkings,LegsArmature,LegsFemurArmature,LegsDistalLegSpines,LegsOther,LegsFemurSection,LegsPatellaSection,LegsTibiaSection
Opilio saxatilis,Phalangiidae,Opilioninae,Opilio,NHMSYS0001590907,herbaceous,no,summer| autumn,[jul-dec],sep,male | female,6,[3.2-6.0],[3.2-5.0],[4.5-6.0],no,no| indistinct,indistinct,no,paler down middle,yes,no,,inconspicuous,no,black tipped,small tubercles,black tipped tubercles,n/a,n/a,n/a,n/a,present,no,slightly longer than wide,two rows,[2-4],acute black-tipped tubercles,tubercles,pointed,prominent,Tubercles black-tipped,smooth,longer,none,none,none,absent,no,,absent,none visible,none,long,clearly longer than body,[18-30],unremarkable,moderate,same,irregular brown spots,none,"femora, patellae and tibiae with black-tipped tubercles",strong,no,femurs of legs 1 and 3 swollen,round | angular,round | angular,?
Megabunus diadema,Phalangiidae,Platybuninae,Megabunus,NBNSYS0000013860,shrub/wall,no,spring| summer| autumn| winter,[mar-jun],jun,male | female,5,[2.6-4.8],[2.6-3.2],[3.2-4.8],no,distinct,double-waisted,no,dark and outlined in white,no,no,,none,n/a,,none,n/a,n/a,n/a,n/a,n/a,present,no,wider than long,two rows,[5-6],extremely long spines,spines,n/a,extremely long,Huge thorn-like tubercles,smooth,longer,small,moderate,none,large,no,,absent,none visible,none,medium,clearly longer than body,[15-20],white annulations on darkish legs,moderate | strong,same,none,none,ends of leg sections armed with stout spines,weak,yes,,round,round,?
Platybunus triangularis,Phalangiidae,Platybuninae,Platybunus,NHMSYS0001590926,herbaceous,no,spring| summer,[apr-sep],jun,male | female,7,[3.7-7.0],[3.7-4.5],[5.0-7.0],no,indistinct,straight-sided,yes | no,,no,no,,none,n/a,,small tubercles,single small tubercle,n/a,n/a,n/a,n/a,present,no,wider than long,two rows,[7-10],robust sharp tubercles,tubercles,pointed,robust,,smooth,longer,small,moderate,small,large,no,,absent,none visible (f) | large projection on distal segment (m),none,long,clearly longer than body,50,pale trochanters & slightly darker legs,none,same,none,none,,moderate,no,,round,round,?
Platybunus pinetorum,Phalangiidae,Platybuninae,Platybunus,NHMSYS0020978833,shrub/wall,yes,spring| summer,[mar-may],may,male | female,9,[5.0-8.0],,,no,indistinct| distinct,waisted,yes | no,dark but paler down the middle,no,no,,none,n/a,,none,n/a,n/a,n/a,n/a,n/a,present,no,much wider than long,two rows,[7-12],robust sharp tubercles,tubercles,hair-tipped | pointed,robust,Much wider than long,smooth,longer,moderate,moderate,none,very large,no,dagger-like tubercles,absent,none visible,none,long,clearly longer than body,[28-38],dark trochanters with light patches & paler legs,none,same,none,dark with light patches,,weak,no,,round,round,?
Lophopilio palpinalis,Phalangiidae,Platybuninae,Lophopilio,NBNSYS0000013854,ground| herbaceous,no,summer| autumn| winter,[aug-jan],nov,male | female,5,[2.8-5.0],[2.8-3.8],[3.5-5.0],no,indistinct| distinct,indistinct | straight-sided,no,bordered by dark patches,no,no,,none,n/a,,conspicuous trident,n/a,inclined forward| near forward pointing,central much longer,none,novalue,present,no,slightly wider than long,two rows,[3-5],blunt tubercles,tubercles,hair-tipped | pointed,prominent,Tubercles of various sizes,smooth,longer,small,moderate,none | small,large,no,,absent,none visible,none,medium,clearly longer than body,[12-15],unremarkable,moderate,same,none,none,,weak,yes,,round,angular,?
Dicranopalpus ramosus,Phalangiidae,Gyantinae,Dicranopalpus,NBNSYS0000013847,shrub/wall,yes,summer| autumn| winter,[jun-mar],sep,male | female,6,[3.0-6.0],[3.0-4.0],[4.0-6.0],no,no (m)| distinct (f),indistinct (m) | straight-sided (f),no,,yes | no,no,dark 'zoro' mask across eyes,none,n/a,,none,n/a,n/a,n/a,n/a,n/a,present,no,wider than long,none,n/a,n/a,n/a,n/a,n/a,,toothed,longer,none,large,small,absent,no,palps look 'forked',absent,none visible (f) | covered with tubercles (m),none,very long,clearly longer than body,[40-60],pale trochanters & legs,moderate | strong,same,none,none,,weak,no,at rest held straight out in narrow fans on either side of body,round,round,?
Dicranopalpus caudatus,Phalangiidae,Gyantinae,Dicranopalpus,#Not on NBN as separate taxon yet (23/05/2018),?,no,?,?,?,male | female,,[2.1-5.0],[2.10-2.97],,no,no (m)| distinct (f),indistinct (m) | straight-sided (f),no,,no,no,,none,n/a,,none,n/a,n/a,n/a,n/a,n/a,present,no,wider than long,none,n/a,n/a,n/a,n/a,n/a,,toothed,longer,none,large,small,absent,no,palps look 'forked',absent,none visible (f) | covered with tubercles (m),none,very long,clearly longer than body,?,pale trochanters & legs,moderate | strong,same,none,none,,weak,no,at rest held straight out in narrow fans on either side of body,round,round,?
Leiobunum rotundum,Phalangiidae,Leiobuninae,Leiobunum,NBNSYS0000013861,herbaceous| shrub/wall,yes,summer| autumn,[may-nov],aug,male | female,6,[3.0-6.5],[3.0-4.0],[4.5-6.5],no,no (m) | indistinct (m)| distinct (f),indistinct (m) | straight-sided,no (m) | yes (f) | no (f),dark,no,no,,none,n/a,,none,n/a,n/a,n/a,n/a,n/a,present,no,slightly wider than long,none,n/a,n/a,n/a,n/a,n/a,,toothed,longer,none,none,none,absent,no,,absent,none visible,pair of blunt projections,very long,clearly longer than body,[50-60],dark trochanters with light patches & dark legs,none,same | darker,none,dark with light patches,,moderate,no,,round,round,?
Leiobunum blackwalli,Phalangiidae,Leiobuninae,Leiobunum,NBNSYS0000013862,herbaceous| shrub/wall,no,summer| autumn| winter,[jun-nov] | [jan-mar],sep,male | female,6,[2.6-6.0],[2.6-3.6],[4.0-6.0],no,no (m)| distinct (f),indistinct (m) | triangular (f),yes (f) | no (m),dark,no,no,,none,n/a,,none,n/a,n/a,n/a,n/a,n/a,present,yes,slightly wider than long,none,n/a,n/a,n/a,n/a,n/a,,toothed,longer,none,none,none,absent,no,,absent,none visible,pair of blunt projections,very long,clearly longer than body,[40-50],dark trochanters with light patches & dark legs,none,same | darker,none,dark with light patches,,moderate,no,,round,round,?
Leiobunum tisciae,Phalangiidae,Leiobuninae,Leiobunum,NBNSYS0000013863,shrub/wall,yes,summer| autumn,[apr-nov],sep,male | female,6.5,6.5,,,no,no| indistinct,indistinct | straight-sided,no,pale patches at front,no,no,,none,n/a,,none,n/a,n/a,n/a,n/a,n/a,present,no,slightly wider than long,none,n/a,n/a,n/a,n/a,n/a,,toothed,longer,none,none,none,absent,no,,absent,none visible,pair of blunt projections,very long,clearly longer than body,50,pale trochanters & dark legs with pale-ended sections ('white-kneed' appearance),none,same,none,none,trochanters with orange-brown spines,moderate,no,,round,round,?
Leiobunum sp. A,Phalangiidae,Leiobuninae,Leiobunum,#Not on NBN yet (23/05/2018),shrub/wall,no,summer| autumn| winter,?,?,male | female,9,[4.0-6.4],,,no,no| indistinct,indistinct | straight-sided,no,,no,no,,none,n/a,,none,n/a,n/a,n/a,n/a,n/a,present,no,wider than long,none,n/a,n/a,n/a,n/a,n/a,,toothed,longer,none,none,none,absent,no,,absent,none visible,pair of blunt projections,very long,clearly longer than body,95,dark legs & orange trochanters with darker shading,none,same,none,orange with dark patches,,moderate,no,,round,round,?
Nelima gothica,Phalangiidae,Leiobuninae,Nelima,NBNSYS0000013864,herbaceous | shrub/wall,no,summer| autumn,[jul-dec],sep,male | female,4.5,[2.5-4.5],[2.5-3.5],[3.5-4.5],no,no (m)| indistinct (f),indistinct (m) | straight-sided (f),no,,no,no,,none,n/a,,none,n/a,n/a,n/a,n/a,n/a,present,no,slightly longer than wide,irregular,n/a,small spines | small hairs,spines | hairs,n/a,small,,toothed,longer,none,none,none,absent,no,,absent,none visible,none,long,clearly longer than body,[30-40],pale trochanters  & dark spot under coxae & pale-ended sections ('white-kneed' appearance),none,same,single brown spot,none,,moderate,no,,round,round,?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
