URI,ImageWidth,Type,Priority,Caption,Taxon,Character,State
resources/BourbonTop.jpg,100%,image-local,,Top down view of a Bourbon   ,Bourbon Cream,,
resources/BourbonSide.jpg,100%,image-local,,Side view of a Bourbon   ,Bourbon Cream,,
resources/BourbonXSection.jpg,100%,image-local,,Cross section through a Bourbon   ,Bourbon Cream,,
resources/BourbonFilling.jpg,100%,image-local,,The filling inside a Bourbon   ,Bourbon Cream,,
,,,,,,,
resources/HappyFaceTop.jpg,100%,image-local,,Top view of a Happy Face    ,Happy Face,,
resources/HappyFaceSide.jpg,100%,image-local,,Side view of a Happy Face    ,Happy Face,,
resources/HappyFaceFilling.jpg,100%,image-local,,The filling inside a Happy Face    ,Happy Face,,
,,,,,,,
resources/MCDBottom.jpg,100%,image-local,2,Bottom view of a Milk Chocolate Digestive ,Milk Chocolate Digestive,,
resources/MCDTop.jpg,100%,image-local,1,Top view of a Milk Chocolate Digestive,Milk Chocolate Digestive,,
resources/MCDSide.jpg,100%,image-local,3,Side view of a Milk Chocolate Digestive   ,Milk Chocolate Digestive,,
,,,,,,,
resources/ShortcakeTop.jpg,100%,image-local,,Top view of a Shortcake,Shortcake,,
resources/ShortcakeOblique.jpg,100%,image-local,,Oblique view of a Shortcake,Shortcake,,
